,module name,input shape,output shape,params,memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration[%],MemR+W(B),DataSize,height
0,conv1,  3 224 224, 64 112 112,9408,3.06,"235,225,088.00","118,013,952.00",639744,3211264,4.20%,3851008,0,224
1,bn1, 64 112 112, 64 112 112,128,3.06,"3,211,264.00","1,605,632.00",3211776,3211264,0.84%,6423040,3.06,112
2,relu, 64 112 112, 64 112 112,0,3.06,"802,816.00","802,816.00",3211264,3211264,0.84%,6422528,3.06,112
3,maxpool, 64 112 112, 64  56  56,0,0.77,"1,605,632.00","802,816.00",3211264,802816,0.84%,4014080,3.06,112
4,layer1.0.conv1, 64  56  56, 64  56  56,4096,0.77,"25,489,408.00","12,845,056.00",819200,802816,0.84%,1622016,0.765,56
5,layer1.0.bn1, 64  56  56, 64  56  56,128,0.77,"802,816.00","401,408.00",803328,802816,0.00%,1606144,0.765,56
6,layer1.0.conv2, 64  56  56, 64  56  56,36864,0.77,"231,010,304.00","115,605,504.00",950272,802816,0.84%,1753088,0.765,56
7,layer1.0.bn2, 64  56  56, 64  56  56,128,0.77,"802,816.00","401,408.00",803328,802816,0.00%,1606144,0.765,56
8,layer1.0.conv3, 64  56  56,256  56  56,16384,3.06,"101,957,632.00","51,380,224.00",868352,3211264,1.68%,4079616,0.765,56
9,layer1.0.bn3,256  56  56,256  56  56,512,3.06,"3,211,264.00","1,605,632.00",3213312,3211264,0.84%,6424576,3.06,56
10,layer1.0.relu,256  56  56,256  56  56,0,3.06,"802,816.00","802,816.00",3211264,3211264,0.84%,6422528,3.06,56
11,layer1.0.downsample.0, 64  56  56,256  56  56,16384,3.06,"101,957,632.00","51,380,224.00",868352,3211264,1.68%,4079616,3.06,56
12,layer1.0.downsample.1,256  56  56,256  56  56,512,3.06,"3,211,264.00","1,605,632.00",3213312,3211264,0.84%,6424576,3.06,56
13,layer1.1.conv1,256  56  56, 64  56  56,16384,0.77,"102,559,744.00","51,380,224.00",3276800,802816,2.52%,4079616,3.06,56
14,layer1.1.bn1, 64  56  56, 64  56  56,128,0.77,"802,816.00","401,408.00",803328,802816,0.00%,1606144,0.765,56
15,layer1.1.conv2, 64  56  56, 64  56  56,36864,0.77,"231,010,304.00","115,605,504.00",950272,802816,0.84%,1753088,0.765,56
16,layer1.1.bn2, 64  56  56, 64  56  56,128,0.77,"802,816.00","401,408.00",803328,802816,0.84%,1606144,0.765,56
17,layer1.1.conv3, 64  56  56,256  56  56,16384,3.06,"101,957,632.00","51,380,224.00",868352,3211264,1.68%,4079616,0.765,56
18,layer1.1.bn3,256  56  56,256  56  56,512,3.06,"3,211,264.00","1,605,632.00",3213312,3211264,0.00%,6424576,3.06,56
19,layer1.1.relu,256  56  56,256  56  56,0,3.06,"802,816.00","802,816.00",3211264,3211264,0.00%,6422528,3.06,56
20,layer1.2.conv1,256  56  56, 64  56  56,16384,0.77,"102,559,744.00","51,380,224.00",3276800,802816,0.84%,4079616,3.06,56
21,layer1.2.bn1, 64  56  56, 64  56  56,128,0.77,"802,816.00","401,408.00",803328,802816,0.84%,1606144,0.765,56
22,layer1.2.conv2, 64  56  56, 64  56  56,36864,0.77,"231,010,304.00","115,605,504.00",950272,802816,0.84%,1753088,0.765,56
23,layer1.2.bn2, 64  56  56, 64  56  56,128,0.77,"802,816.00","401,408.00",803328,802816,0.00%,1606144,0.765,56
24,layer1.2.conv3, 64  56  56,256  56  56,16384,3.06,"101,957,632.00","51,380,224.00",868352,3211264,2.52%,4079616,0.765,56
25,layer1.2.bn3,256  56  56,256  56  56,512,3.06,"3,211,264.00","1,605,632.00",3213312,3211264,0.84%,6424576,3.06,56
26,layer1.2.relu,256  56  56,256  56  56,0,3.06,"802,816.00","802,816.00",3211264,3211264,0.00%,6422528,3.06,56
27,layer2.0.conv1,256  56  56,128  56  56,32768,1.53,"205,119,488.00","102,760,448.00",3342336,1605632,2.52%,4947968,3.06,56
28,layer2.0.bn1,128  56  56,128  56  56,256,1.53,"1,605,632.00","802,816.00",1606656,1605632,0.00%,3212288,1.53,56
29,layer2.0.conv2,128  56  56,128  28  28,147456,0.38,"231,110,656.00","115,605,504.00",2195456,401408,1.68%,2596864,1.53,56
30,layer2.0.bn2,128  28  28,128  28  28,256,0.38,"401,408.00","200,704.00",402432,401408,0.00%,803840,0.383,28
31,layer2.0.conv3,128  28  28,512  28  28,65536,1.53,"102,359,040.00","51,380,224.00",663552,1605632,0.84%,2269184,0.383,28
